PhysicalX(mm),PhysicalY(mm),1574999500Hz,1574999510Hz,1574999520Hz,1574999530Hz,1574999540Hz,1574999550Hz,1574999560Hz,1574999570Hz,1574999580Hz,1574999590Hz,1574999600Hz,1574999610Hz,1574999620Hz,1574999630Hz,1574999640Hz,1574999650Hz,1574999660Hz,1574999670Hz,1574999680Hz,1574999690Hz,1574999700Hz,1574999710Hz,1574999720Hz,1574999730Hz,1574999740Hz,1574999750Hz,1574999760Hz,1574999770Hz,1574999780Hz,1574999790Hz,1574999800Hz,1574999810Hz,1574999820Hz,1574999830Hz,1574999840Hz,1574999850Hz,1574999860Hz,1574999870Hz,1574999880Hz,1574999890Hz,1574999900Hz,1574999910Hz,1574999920Hz,1574999930Hz,1574999940Hz,1574999950Hz,1574999960Hz,1574999970Hz,1574999980Hz,1574999990Hz,1575000000Hz,1575000010Hz,1575000020Hz,1575000030Hz,1575000040Hz,1575000050Hz,1575000060Hz,1575000070Hz,1575000080Hz,1575000090Hz,1575000100Hz,1575000110Hz,1575000120Hz,1575000130Hz,1575000140Hz,1575000150Hz,1575000160Hz,1575000170Hz,1575000180Hz,1575000190Hz,1575000200Hz,1575000210Hz,1575000220Hz,1575000230Hz,1575000240Hz,1575000250Hz,1575000260Hz,1575000270Hz,1575000280Hz,1575000290Hz,1575000300Hz,1575000310Hz,1575000320Hz,1575000330Hz,1575000340Hz,1575000350Hz,1575000360Hz,1575000370Hz,1575000380Hz,1575000390Hz,1575000400Hz,1575000410Hz,1575000420Hz,1575000430Hz,1575000440Hz,1575000450Hz,1575000460Hz,1575000470Hz,1575000480Hz,1575000490Hz,1575000500Hz
228.907,-156.097,-27.600,-29.684,-28.156,-32.230,-37.790,-35.458,-33.886,-32.678,-30.311,-34.686,-36.424,-34.291,-35.494,-38.375,-27.797,-25.511,-34.622,-31.932,-29.798,-29.651,-31.209,-32.848,-33.686,-31.305,-44.377,-30.917,-25.891,-25.207,-26.250,-28.595,-40.737,-26.854,-30.906,-38.980,-29.551,-26.607,-29.023,-30.564,-34.742,-33.047,-43.889,-32.818,-31.081,-45.314,-30.622,-33.562,-32.417,-39.551,-30.553,-23.971,1.873,17.959,21.584,13.986,-7.568,-25.960,-33.037,-36.454,-35.298,-32.554,-33.611,-29.076,-22.336,-23.461,-27.843,-29.489,-29.850,-32.012,-37.773,-32.003,-31.417,-37.091,-39.219,-33.100,-32.479,-32.298,-28.322,-35.260,-36.865,-33.744,-34.521,-40.131,-33.608,-27.287,-28.681,-29.888,-27.337,-36.565,-31.504,-29.514,-26.133,-24.386,-28.052,-32.601,-33.808,-30.350,-26.506,-25.459,-23.863,-25.193,-31.340
230.940,-156.097,-36.796,-28.557,-32.012,-41.105,-25.795,-23.227,-27.357,-31.478,-24.817,-23.259,-26.041,-24.995,-23.506,-30.144,-27.855,-33.009,-22.281,-25.476,-28.506,-23.380,-25.284,-26.330,-27.160,-30.768,-25.311,-30.627,-30.500,-26.918,-36.928,-27.282,-28.784,-31.691,-31.125,-36.056,-27.278,-24.099,-22.091,-25.226,-35.448,-28.901,-24.328,-25.107,-29.238,-29.550,-34.549,-47.808,-33.234,-35.557,-39.070,-30.517,2.540,18.041,21.610,13.971,-8.129,-31.500,-35.731,-32.280,-34.702,-30.075,-26.517,-30.000,-25.277,-23.867,-25.332,-30.354,-37.751,-35.987,-31.672,-26.226,-29.467,-26.940,-23.210,-26.807,-33.453,-28.422,-35.102,-50.324,-27.219,-25.377,-37.841,-35.270,-28.489,-31.173,-25.330,-28.590,-30.655,-29.773,-31.060,-24.114,-25.637,-37.249,-26.996,-23.052,-22.453,-21.847,-20.356,-22.904,-26.541,-26.095,-24.157
232.973,-156.097,-34.553,-31.832,-25.850,-28.688,-36.837,-29.696,-27.626,-32.483,-33.221,-27.377,-31.839,-40.117,-32.153,-28.990,-33.296,-28.302,-26.236,-27.907,-26.983,-31.050,-32.706,-24.508,-24.911,-24.047,-32.226,-33.709,-28.829,-22.963,-21.366,-23.823,-33.862,-33.189,-29.253,-35.519,-32.291,-38.417,-28.650,-25.829,-30.022,-29.571,-22.548,-23.385,-27.854,-33.785,-38.509,-46.113,-30.246,-28.369,-32.540,-33.752,2.126,17.989,21.591,13.932,-8.532,-39.410,-32.812,-37.532,-35.101,-26.442,-27.412,-25.382,-24.560,-29.218,-35.246,-30.923,-36.999,-34.364,-31.195,-28.320,-27.055,-26.629,-33.161,-36.389,-29.814,-32.305,-30.912,-31.286,-29.608,-31.312,-32.621,-41.130,-43.280,-34.843,-31.707,-36.060,-48.258,-42.040,-34.247,-25.723,-25.723,-36.076,-25.974,-24.597,-24.111,-28.008,-30.318,-28.771,-35.273,-35.034,-31.404
235.006,-156.097,-37.739,-35.701,-30.099,-28.494,-28.440,-26.528,-33.160,-45.207,-35.064,-27.071,-27.343,-25.675,-25.008,-28.624,-29.515,-31.811,-39.352,-26.912,-22.745,-36.525,-32.944,-25.695,-27.911,-37.256,-27.804,-29.863,-46.573,-38.385,-31.486,-40.895,-30.578,-39.139,-25.035,-29.142,-32.120,-47.450,-25.340,-23.803,-27.336,-28.833,-29.782,-29.146,-31.578,-24.386,-25.683,-34.680,-30.390,-27.243,-31.100,-34.582,2.332,17.962,21.559,13.967,-8.088,-37.536,-32.589,-25.243,-26.206,-31.278,-29.269,-31.273,-25.792,-27.831,-34.501,-24.134,-25.350,-34.192,-26.710,-28.891,-25.668,-23.354,-24.813,-31.893,-25.585,-26.838,-26.903,-25.153,-28.472,-32.039,-34.626,-30.677,-27.666,-28.214,-29.136,-29.717,-28.270,-43.212,-37.043,-38.313,-31.110,-24.804,-23.769,-27.776,-34.002,-40.414,-49.762,-43.717,-31.938,-28.496,-26.733
237.039,-156.097,-28.725,-30.223,-28.925,-29.937,-33.894,-32.985,-38.419,-39.198,-37.867,-30.445,-25.672,-27.199,-34.868,-29.746,-33.708,-27.340,-23.557,-24.212,-24.346,-22.683,-25.367,-40.709,-32.591,-47.270,-33.322,-38.202,-28.664,-26.082,-38.032,-28.843,-38.523,-35.335,-31.951,-29.668,-31.241,-35.609,-25.250,-23.494,-22.222,-27.883,-26.478,-23.394,-24.011,-25.693,-25.613,-24.233,-25.918,-26.494,-27.049,-26.273,2.003,18.014,21.617,13.982,-9.113,-35.303,-45.363,-39.871,-32.565,-31.102,-30.819,-29.741,-27.389,-27.876,-28.729,-27.724,-31.559,-40.139,-33.685,-36.698,-25.339,-23.229,-25.546,-33.942,-32.075,-37.341,-36.452,-32.144,-26.580,-23.967,-33.152,-28.856,-22.878,-23.626,-27.433,-27.389,-26.152,-29.029,-29.675,-33.970,-31.238,-27.369,-25.556,-47.119,-30.406,-28.252,-26.591,-28.278,-38.736,-27.293,-30.159
239.072,-156.097,-29.026,-37.657,-31.374,-23.507,-25.687,-30.796,-22.402,-26.699,-39.291,-36.724,-35.348,-36.791,-30.870,-24.290,-23.488,-31.808,-40.517,-26.300,-23.779,-26.530,-26.280,-28.851,-34.215,-37.252,-38.509,-34.842,-30.594,-38.774,-33.796,-39.449,-24.255,-25.596,-34.891,-26.459,-31.114,-27.309,-25.203,-29.722,-32.028,-23.877,-26.142,-30.062,-28.043,-29.206,-29.891,-29.399,-26.627,-27.735,-26.827,-27.576,2.253,18.071,21.659,14.114,-7.040,-25.515,-31.981,-35.984,-39.941,-26.419,-29.219,-34.171,-29.720,-29.408,-27.624,-32.240,-40.019,-32.947,-27.126,-32.574,-56.975,-33.655,-33.526,-28.969,-28.435,-23.715,-22.771,-27.964,-30.842,-26.658,-25.902,-27.809,-28.756,-29.748,-36.093,-34.758,-35.954,-24.984,-27.253,-27.380,-24.492,-31.686,-42.180,-29.191,-24.828,-27.312,-31.289,-27.106,-26.703,-30.117,-35.422
241.105,-156.097,-24.290,-31.874,-29.618,-34.254,-28.822,-26.087,-27.958,-28.690,-32.947,-36.109,-32.402,-25.163,-26.192,-28.250,-26.705,-32.435,-26.930,-23.114,-23.696,-24.442,-29.879,-29.631,-23.404,-27.266,-35.750,-36.765,-29.808,-25.922,-26.028,-25.813,-26.294,-27.089,-25.876,-24.070,-33.358,-33.493,-25.878,-24.986,-27.054,-32.437,-42.396,-30.146,-27.047,-30.471,-32.929,-29.493,-42.681,-45.214,-29.501,-24.504,2.327,18.113,21.687,13.989,-9.726,-30.407,-35.149,-33.314,-36.566,-39.148,-27.952,-29.502,-43.867,-50.995,-48.697,-33.980,-25.323,-26.791,-36.293,-38.468,-27.439,-37.207,-35.249,-25.642,-27.403,-25.140,-24.538,-27.033,-30.350,-27.638,-26.575,-26.720,-31.444,-34.098,-25.563,-38.048,-30.165,-33.672,-29.025,-31.867,-44.070,-37.771,-34.675,-28.463,-37.530,-31.860,-36.576,-40.849,-32.064,-27.379,-25.026
243.138,-156.097,-24.605,-28.285,-31.554,-32.936,-37.611,-33.124,-22.777,-20.834,-25.834,-30.026,-26.969,-25.537,-29.042,-27.588,-26.763,-29.768,-28.734,-33.246,-35.356,-31.321,-32.702,-34.926,-49.358,-29.546,-22.743,-21.869,-26.768,-33.475,-30.029,-27.451,-26.496,-32.267,-33.568,-30.458,-30.107,-25.900,-26.792,-29.582,-35.238,-27.647,-24.919,-36.400,-29.531,-36.351,-38.221,-30.581,-29.874,-31.222,-36.320,-24.349,1.881,18.037,21.665,14.026,-8.825,-36.780,-35.755,-26.056,-29.532,-42.211,-33.482,-29.503,-25.615,-26.462,-35.594,-38.055,-35.629,-43.647,-32.242,-30.352,-30.877,-30.245,-27.455,-24.433,-24.759,-26.279,-35.820,-28.739,-31.251,-29.949,-33.176,-33.236,-31.432,-45.353,-39.659,-42.615,-37.491,-46.371,-52.801,-28.719,-26.261,-30.288,-32.812,-36.189,-38.609,-38.624,-31.556,-31.571,-25.227,-28.407,-30.479
245.171,-156.097,-30.948,-32.126,-35.052,-35.769,-32.363,-33.494,-33.119,-29.012,-32.271,-31.642,-26.574,-27.864,-32.551,-33.163,-41.829,-32.092,-26.997,-25.466,-24.917,-22.162,-24.005,-33.621,-27.980,-26.955,-25.177,-27.082,-36.397,-33.880,-34.753,-28.918,-27.231,-34.052,-34.970,-27.321,-28.280,-33.974,-34.766,-28.230,-24.694,-26.893,-34.548,-25.542,-26.780,-28.055,-29.336,-29.722,-26.036,-26.474,-27.514,-30.344,2.559,18.128,21.695,14.072,-7.621,-32.067,-31.399,-28.362,-31.656,-34.860,-28.843,-25.268,-24.378,-25.814,-26.686,-24.655,-26.430,-30.265,-33.365,-31.084,-24.830,-27.118,-33.303,-27.416,-37.136,-38.333,-28.952,-25.457,-24.341,-29.378,-32.421,-30.487,-28.299,-26.420,-25.719,-34.275,-45.532,-27.994,-26.681,-24.981,-28.275,-38.585,-26.758,-29.148,-39.073,-35.291,-32.799,-32.876,-44.954,-39.745,-37.054
247.204,-156.097,-35.632,-23.037,-21.495,-27.709,-33.598,-24.878,-21.991,-30.099,-27.006,-29.879,-32.524,-30.670,-30.102,-27.205,-30.500,-34.841,-32.149,-28.855,-28.119,-29.878,-28.366,-30.170,-28.846,-30.765,-40.434,-29.947,-32.419,-39.768,-35.375,-42.614,-43.411,-31.203,-28.559,-36.340,-30.276,-41.653,-32.069,-32.887,-26.654,-25.471,-31.403,-31.575,-30.591,-34.617,-28.740,-25.083,-24.658,-29.198,-29.351,-30.101,2.004,18.061,21.663,14.057,-7.172,-24.684,-25.885,-27.437,-21.216,-20.262,-24.505,-29.727,-32.467,-25.860,-24.614,-28.208,-26.720,-28.973,-28.281,-33.293,-24.982,-22.426,-29.670,-32.284,-27.192,-28.284,-40.737,-30.378,-28.883,-31.391,-36.667,-30.903,-28.997,-25.539,-27.251,-29.116,-28.047,-31.443,-29.877,-29.777,-26.736,-28.720,-36.796,-26.386,-24.753,-35.592,-31.509,-33.198,-36.234,-30.125,-27.575
