PhysicalX(mm),PhysicalY(mm),1574999500Hz,1574999510Hz,1574999520Hz,1574999530Hz,1574999540Hz,1574999550Hz,1574999560Hz,1574999570Hz,1574999580Hz,1574999590Hz,1574999600Hz,1574999610Hz,1574999620Hz,1574999630Hz,1574999640Hz,1574999650Hz,1574999660Hz,1574999670Hz,1574999680Hz,1574999690Hz,1574999700Hz,1574999710Hz,1574999720Hz,1574999730Hz,1574999740Hz,1574999750Hz,1574999760Hz,1574999770Hz,1574999780Hz,1574999790Hz,1574999800Hz,1574999810Hz,1574999820Hz,1574999830Hz,1574999840Hz,1574999850Hz,1574999860Hz,1574999870Hz,1574999880Hz,1574999890Hz,1574999900Hz,1574999910Hz,1574999920Hz,1574999930Hz,1574999940Hz,1574999950Hz,1574999960Hz,1574999970Hz,1574999980Hz,1574999990Hz,1575000000Hz,1575000010Hz,1575000020Hz,1575000030Hz,1575000040Hz,1575000050Hz,1575000060Hz,1575000070Hz,1575000080Hz,1575000090Hz,1575000100Hz,1575000110Hz,1575000120Hz,1575000130Hz,1575000140Hz,1575000150Hz,1575000160Hz,1575000170Hz,1575000180Hz,1575000190Hz,1575000200Hz,1575000210Hz,1575000220Hz,1575000230Hz,1575000240Hz,1575000250Hz,1575000260Hz,1575000270Hz,1575000280Hz,1575000290Hz,1575000300Hz,1575000310Hz,1575000320Hz,1575000330Hz,1575000340Hz,1575000350Hz,1575000360Hz,1575000370Hz,1575000380Hz,1575000390Hz,1575000400Hz,1575000410Hz,1575000420Hz,1575000430Hz,1575000440Hz,1575000450Hz,1575000460Hz,1575000470Hz,1575000480Hz,1575000490Hz,1575000500Hz
240.837,-76.121,-29.256,-37.785,-38.502,-29.520,-25.331,-28.008,-38.156,-36.806,-37.560,-34.981,-30.105,-30.329,-34.700,-38.278,-25.104,-23.694,-26.273,-27.508,-30.574,-26.348,-25.101,-31.404,-40.101,-34.190,-30.305,-26.900,-25.067,-24.173,-28.186,-28.303,-34.973,-29.748,-29.135,-30.754,-33.617,-38.514,-33.534,-37.644,-33.771,-31.564,-32.849,-48.334,-31.800,-30.077,-29.274,-29.993,-31.597,-37.662,-34.767,-22.797,3.689,13.886,11.697,-1.481,-30.328,-31.893,-24.773,-25.694,-28.644,-35.847,-34.546,-28.495,-32.526,-34.638,-32.630,-36.216,-38.095,-41.022,-30.851,-40.631,-33.036,-28.223,-29.391,-27.234,-25.778,-32.972,-36.233,-33.658,-34.793,-33.136,-26.413,-29.568,-38.423,-31.267,-34.655,-40.707,-37.550,-28.947,-27.076,-26.279,-28.868,-46.791,-33.965,-35.971,-30.328,-32.466,-42.139,-38.639,-44.399,-31.834,-33.052
242.861,-76.121,-27.758,-25.499,-29.187,-33.989,-26.410,-24.165,-23.537,-24.550,-28.456,-27.328,-26.498,-26.122,-29.371,-26.710,-28.170,-31.244,-32.197,-29.294,-28.614,-24.837,-24.068,-25.882,-28.031,-28.517,-28.051,-24.758,-22.083,-23.906,-25.988,-38.234,-27.550,-25.029,-29.110,-30.808,-25.774,-21.317,-20.537,-23.816,-26.568,-32.186,-36.214,-28.811,-25.560,-33.051,-33.243,-25.406,-23.689,-28.553,-39.690,-20.204,3.739,13.921,11.682,-1.874,-26.406,-30.298,-39.534,-27.542,-28.766,-28.613,-23.467,-28.921,-28.252,-26.836,-31.387,-27.225,-28.424,-27.709,-41.953,-40.673,-42.738,-39.108,-31.296,-30.187,-33.447,-31.744,-26.592,-28.240,-41.098,-33.834,-25.636,-23.770,-26.806,-27.861,-30.498,-31.711,-38.793,-30.512,-33.395,-30.528,-26.873,-32.328,-35.868,-31.471,-27.313,-25.732,-25.864,-26.001,-25.851,-28.701,-33.934
244.885,-76.121,-28.777,-39.588,-33.458,-28.754,-31.666,-31.365,-27.300,-31.778,-35.675,-30.636,-29.153,-30.638,-31.705,-25.371,-29.975,-32.903,-28.440,-25.771,-35.160,-27.191,-28.476,-34.920,-34.453,-30.524,-24.073,-25.999,-38.774,-32.720,-32.754,-29.563,-26.878,-29.741,-27.374,-31.703,-29.830,-34.288,-36.721,-27.172,-22.711,-21.652,-26.970,-36.515,-29.532,-31.415,-33.262,-27.649,-32.143,-32.993,-32.546,-20.774,3.799,14.045,11.889,-1.105,-26.804,-41.381,-28.160,-24.850,-33.837,-32.678,-33.913,-33.826,-28.218,-30.050,-32.688,-35.565,-34.973,-45.413,-48.678,-32.985,-28.883,-28.524,-28.955,-26.025,-29.179,-42.657,-33.145,-30.119,-35.712,-29.132,-31.172,-32.078,-28.146,-24.789,-24.045,-24.993,-33.271,-30.028,-38.419,-31.648,-34.544,-45.588,-30.428,-26.655,-29.335,-33.398,-43.482,-32.732,-39.688,-27.967,-26.412
246.909,-76.121,-29.176,-37.292,-39.890,-27.253,-28.524,-32.284,-26.340,-26.771,-26.998,-28.424,-31.874,-27.065,-40.392,-30.545,-26.824,-25.753,-27.837,-28.386,-27.092,-28.469,-30.141,-38.410,-39.060,-29.056,-27.255,-30.980,-31.775,-31.341,-32.939,-36.896,-37.331,-29.228,-27.412,-42.754,-31.011,-33.600,-34.998,-27.237,-27.783,-25.777,-29.899,-26.964,-23.053,-24.349,-42.350,-30.516,-26.495,-29.838,-31.062,-28.799,3.860,14.168,11.968,-1.262,-25.558,-29.059,-40.508,-30.622,-32.223,-31.984,-31.129,-37.288,-31.465,-32.474,-35.464,-30.478,-31.562,-29.577,-29.115,-34.827,-31.201,-32.645,-23.356,-20.376,-21.472,-27.084,-38.376,-29.189,-31.844,-33.551,-27.187,-25.328,-28.710,-40.015,-31.718,-33.473,-31.709,-31.861,-26.551,-27.710,-37.540,-40.738,-23.360,-20.201,-23.516,-33.590,-49.027,-30.807,-24.893,-28.419,-27.500
248.933,-76.121,-32.548,-31.218,-31.341,-28.244,-24.046,-25.297,-36.053,-35.000,-24.063,-29.731,-29.412,-30.147,-33.517,-41.499,-36.953,-29.811,-28.426,-35.471,-47.495,-33.606,-26.511,-29.410,-28.844,-24.574,-38.992,-31.270,-29.156,-31.334,-32.316,-24.654,-26.103,-30.928,-30.395,-27.127,-30.660,-22.736,-21.509,-24.510,-26.703,-27.632,-25.096,-24.596,-26.989,-43.828,-35.232,-44.268,-27.543,-22.694,-21.688,-19.806,3.796,14.118,11.962,-0.875,-25.857,-29.100,-26.595,-26.008,-27.435,-28.058,-26.772,-29.178,-40.792,-40.803,-34.455,-35.306,-29.028,-31.524,-42.622,-38.271,-29.036,-34.971,-35.582,-25.198,-22.345,-21.887,-27.286,-41.749,-48.042,-29.653,-24.035,-28.078,-28.648,-30.432,-30.236,-45.904,-30.843,-40.107,-30.561,-32.706,-27.054,-24.743,-34.147,-26.509,-30.261,-29.958,-34.543,-30.647,-23.528,-26.141,-45.793
250.957,-76.121,-28.221,-31.743,-34.966,-41.383,-37.129,-46.169,-29.546,-24.535,-28.515,-38.256,-30.165,-33.693,-44.401,-31.228,-26.273,-26.623,-25.499,-42.511,-26.281,-25.195,-44.747,-25.855,-22.166,-21.305,-28.602,-36.561,-32.375,-38.993,-29.514,-28.750,-27.841,-34.399,-32.406,-28.155,-35.323,-34.897,-28.940,-26.545,-41.926,-29.486,-28.277,-29.091,-25.300,-26.357,-30.466,-32.121,-27.747,-29.246,-30.775,-24.561,3.698,14.010,11.833,-1.048,-21.716,-36.333,-25.675,-23.893,-34.339,-51.563,-42.685,-32.082,-28.596,-32.518,-37.679,-27.367,-24.470,-26.164,-28.187,-39.038,-39.340,-35.520,-42.302,-31.365,-29.477,-41.064,-36.581,-42.911,-36.126,-30.844,-36.803,-37.482,-34.096,-41.197,-26.139,-29.407,-37.185,-23.046,-21.681,-27.236,-34.664,-35.131,-33.414,-29.736,-27.127,-24.030,-24.903,-33.748,-52.663,-30.714,-28.408
252.981,-76.121,-37.771,-32.426,-41.977,-31.142,-28.742,-24.770,-24.035,-25.287,-27.447,-34.778,-28.393,-24.020,-26.480,-31.718,-31.908,-39.680,-39.237,-34.595,-38.102,-37.610,-26.953,-29.622,-32.884,-35.797,-30.115,-24.970,-28.750,-28.633,-26.219,-28.227,-32.641,-30.664,-32.409,-28.445,-21.839,-21.241,-21.835,-25.902,-25.623,-26.786,-35.542,-30.965,-38.944,-38.882,-27.387,-25.775,-34.340,-33.270,-31.787,-21.092,3.550,13.920,11.758,-1.314,-26.014,-31.579,-32.591,-34.052,-25.042,-22.937,-31.040,-36.239,-38.016,-36.174,-26.632,-30.335,-26.584,-22.804,-25.747,-35.210,-34.095,-27.863,-32.538,-34.200,-30.738,-35.097,-33.593,-29.274,-37.610,-31.092,-39.107,-34.926,-26.701,-24.520,-26.724,-31.945,-35.753,-27.440,-25.587,-26.780,-24.103,-31.799,-32.951,-32.525,-28.038,-34.476,-37.740,-26.643,-23.774,-26.500,-27.897
255.005,-76.121,-28.708,-26.431,-27.942,-31.260,-28.221,-26.088,-25.697,-26.653,-29.493,-35.931,-43.231,-38.559,-34.402,-30.753,-33.488,-29.745,-27.524,-38.177,-35.160,-30.031,-46.744,-31.842,-29.467,-40.479,-35.857,-31.446,-40.862,-36.828,-30.002,-38.287,-28.930,-38.832,-27.727,-25.892,-27.892,-37.433,-36.015,-28.992,-25.332,-27.026,-25.851,-30.350,-31.585,-26.080,-28.904,-28.556,-23.263,-25.311,-36.155,-24.797,3.337,13.695,11.482,-1.865,-30.781,-31.390,-37.884,-37.903,-29.372,-31.762,-28.169,-29.256,-29.037,-27.011,-36.546,-27.531,-26.908,-31.243,-27.464,-26.014,-31.196,-45.695,-37.358,-31.109,-27.037,-27.605,-28.725,-31.083,-38.395,-33.261,-26.286,-28.640,-37.474,-47.725,-37.969,-46.730,-47.250,-28.734,-24.622,-23.909,-25.224,-28.325,-49.148,-42.588,-28.995,-25.617,-25.141,-24.447,-31.116,-31.769,-26.936
257.029,-76.121,-27.622,-25.927,-26.709,-23.571,-22.214,-29.847,-32.910,-26.909,-26.199,-32.865,-40.646,-35.964,-32.353,-43.585,-28.028,-26.432,-27.486,-23.133,-24.542,-28.865,-29.183,-26.647,-28.162,-34.266,-33.327,-26.097,-27.907,-41.913,-35.171,-32.650,-36.292,-30.020,-33.221,-33.042,-25.409,-25.106,-24.238,-31.169,-25.755,-30.001,-36.608,-37.894,-27.966,-42.824,-36.803,-36.750,-32.589,-30.968,-32.143,-24.596,3.179,13.516,11.326,-1.901,-29.847,-29.541,-31.691,-34.616,-31.761,-27.406,-28.816,-61.017,-29.250,-31.380,-37.613,-36.286,-39.011,-38.148,-29.665,-24.939,-29.148,-37.415,-45.348,-30.979,-30.018,-25.853,-24.638,-26.906,-35.036,-30.170,-32.862,-31.587,-33.844,-32.453,-40.969,-33.382,-32.233,-25.608,-21.921,-23.624,-35.570,-34.042,-42.687,-31.582,-35.303,-49.629,-33.440,-25.375,-27.024,-28.296,-25.057
259.052,-76.121,-25.596,-33.092,-28.545,-26.669,-33.318,-34.465,-31.994,-36.221,-24.125,-23.070,-26.471,-29.537,-56.593,-31.228,-33.360,-30.119,-24.112,-25.700,-34.093,-25.453,-28.896,-36.452,-33.733,-30.781,-32.200,-39.889,-34.153,-30.642,-33.030,-42.396,-36.646,-41.390,-28.247,-25.362,-23.211,-25.765,-34.239,-28.650,-24.068,-25.860,-35.259,-32.570,-22.947,-24.287,-30.267,-27.726,-26.528,-29.750,-32.373,-19.157,3.327,13.428,11.254,-1.758,-28.750,-29.614,-26.806,-24.527,-29.481,-32.630,-35.768,-33.396,-40.200,-29.014,-27.439,-25.595,-27.503,-38.267,-36.583,-29.301,-27.713,-27.831,-25.039,-21.920,-23.380,-28.734,-24.802,-23.332,-30.355,-37.688,-26.080,-27.986,-35.762,-34.774,-43.169,-37.049,-32.601,-25.727,-23.952,-25.387,-24.273,-32.106,-29.368,-30.159,-37.015,-42.951,-26.979,-24.855,-27.372,-36.128,-40.895
261.076,-76.121,-25.055,-28.829,-25.991,-31.397,-26.086,-31.491,-39.161,-31.558,-29.134,-39.818,-27.782,-25.534,-37.633,-26.760,-25.765,-32.811,-40.280,-27.934,-26.511,-28.709,-32.392,-32.850,-30.298,-42.592,-31.543,-33.133,-30.226,-42.094,-31.980,-35.136,-33.873,-26.658,-26.048,-23.062,-25.223,-29.359,-36.608,-37.285,-35.000,-28.898,-26.402,-31.874,-29.090,-27.252,-32.938,-31.507,-36.009,-29.808,-27.282,-26.143,2.953,13.123,10.902,-2.232,-26.976,-30.964,-27.787,-38.254,-30.202,-31.329,-28.324,-25.894,-32.440,-38.123,-31.723,-30.957,-31.914,-34.062,-29.139,-34.826,-27.590,-25.793,-28.829,-29.902,-28.560,-31.636,-30.470,-26.208,-28.553,-29.051,-29.697,-26.873,-33.698,-31.288,-25.524,-32.472,-36.313,-30.372,-33.653,-25.353,-27.600,-33.534,-31.969,-37.969,-35.629,-44.161,-42.162,-28.577,-26.330,-24.617,-25.682
263.100,-76.121,-36.020,-28.458,-26.162,-25.717,-24.075,-24.940,-22.889,-26.826,-42.209,-32.261,-31.102,-48.561,-29.358,-33.185,-32.982,-28.177,-31.806,-30.651,-34.337,-28.742,-23.238,-25.449,-30.620,-28.706,-30.192,-27.988,-26.925,-25.947,-25.264,-22.240,-21.308,-24.970,-26.083,-27.610,-33.417,-37.120,-27.078,-27.974,-27.752,-28.364,-28.942,-40.890,-36.794,-40.381,-35.810,-28.145,-28.671,-29.898,-30.750,-19.567,2.617,12.692,10.476,-2.971,-23.444,-24.339,-27.736,-27.046,-28.173,-28.608,-33.919,-27.327,-24.820,-31.010,-29.651,-25.324,-26.233,-33.107,-31.302,-32.677,-27.729,-31.397,-42.568,-32.051,-51.310,-41.996,-36.209,-28.174,-60.093,-31.188,-37.595,-26.832,-22.950,-24.002,-28.127,-28.814,-32.319,-35.651,-29.421,-24.077,-22.562,-28.562,-39.370,-38.411,-29.722,-23.695,-27.133,-31.584,-26.049,-22.462,-23.488
265.124,-76.121,-29.595,-28.787,-35.554,-42.678,-30.579,-27.964,-27.445,-37.669,-31.590,-35.097,-35.189,-27.746,-30.654,-34.467,-33.173,-30.541,-32.098,-41.514,-29.218,-24.255,-22.713,-23.147,-24.343,-29.319,-32.942,-31.154,-27.581,-34.973,-25.458,-27.606,-32.286,-30.617,-27.237,-33.191,-25.537,-24.442,-26.998,-33.908,-42.999,-27.687,-24.765,-28.646,-25.562,-26.492,-29.537,-28.743,-24.908,-31.223,-40.089,-23.797,1.990,12.220,10.014,-3.134,-28.858,-39.475,-31.692,-29.036,-30.407,-34.450,-24.837,-30.192,-57.998,-32.914,-34.090,-35.364,-27.518,-25.640,-26.804,-28.879,-25.640,-24.782,-30.865,-31.142,-24.558,-28.214,-36.361,-38.654,-34.500,-36.088,-27.634,-25.924,-32.243,-23.206,-24.262,-28.839,-27.961,-29.860,-31.469,-32.727,-26.562,-31.086,-32.380,-37.436,-24.505,-19.879,-21.677,-29.441,-33.150,-27.496,-34.290
