PhysicalX(mm),PhysicalY(mm),1574999500Hz,1574999510Hz,1574999520Hz,1574999530Hz,1574999540Hz,1574999550Hz,1574999560Hz,1574999570Hz,1574999580Hz,1574999590Hz,1574999600Hz,1574999610Hz,1574999620Hz,1574999630Hz,1574999640Hz,1574999650Hz,1574999660Hz,1574999670Hz,1574999680Hz,1574999690Hz,1574999700Hz,1574999710Hz,1574999720Hz,1574999730Hz,1574999740Hz,1574999750Hz,1574999760Hz,1574999770Hz,1574999780Hz,1574999790Hz,1574999800Hz,1574999810Hz,1574999820Hz,1574999830Hz,1574999840Hz,1574999850Hz,1574999860Hz,1574999870Hz,1574999880Hz,1574999890Hz,1574999900Hz,1574999910Hz,1574999920Hz,1574999930Hz,1574999940Hz,1574999950Hz,1574999960Hz,1574999970Hz,1574999980Hz,1574999990Hz,1575000000Hz,1575000010Hz,1575000020Hz,1575000030Hz,1575000040Hz,1575000050Hz,1575000060Hz,1575000070Hz,1575000080Hz,1575000090Hz,1575000100Hz,1575000110Hz,1575000120Hz,1575000130Hz,1575000140Hz,1575000150Hz,1575000160Hz,1575000170Hz,1575000180Hz,1575000190Hz,1575000200Hz,1575000210Hz,1575000220Hz,1575000230Hz,1575000240Hz,1575000250Hz,1575000260Hz,1575000270Hz,1575000280Hz,1575000290Hz,1575000300Hz,1575000310Hz,1575000320Hz,1575000330Hz,1575000340Hz,1575000350Hz,1575000360Hz,1575000370Hz,1575000380Hz,1575000390Hz,1575000400Hz,1575000410Hz,1575000420Hz,1575000430Hz,1575000440Hz,1575000450Hz,1575000460Hz,1575000470Hz,1575000480Hz,1575000490Hz,1575000500Hz
226.874,-131.794,-24.776,-23.222,-25.132,-27.263,-28.545,-33.183,-28.955,-25.487,-40.574,-31.572,-37.793,-35.948,-36.390,-29.413,-36.620,-35.760,-39.667,-26.990,-30.647,-35.504,-33.254,-32.573,-29.105,-28.018,-29.814,-37.574,-41.417,-37.380,-33.370,-27.383,-30.102,-32.505,-37.364,-42.227,-26.332,-24.527,-26.379,-33.469,-33.928,-40.193,-29.103,-27.138,-33.956,-34.936,-27.241,-29.174,-36.365,-38.248,-43.828,-35.992,3.992,19.750,23.381,15.819,-6.367,-23.718,-25.742,-28.740,-33.797,-42.083,-34.143,-25.619,-27.310,-47.547,-32.177,-39.904,-30.923,-26.384,-27.022,-34.668,-27.657,-22.936,-27.297,-24.117,-31.381,-31.010,-25.729,-27.600,-36.358,-23.832,-19.405,-22.857,-31.656,-24.015,-22.523,-29.487,-28.923,-26.647,-27.178,-22.687,-24.062,-26.770,-32.564,-44.033,-26.867,-23.619,-26.647,-34.919,-25.167,-32.465,-26.159
228.907,-131.794,-29.041,-33.546,-44.676,-34.305,-27.881,-29.061,-25.824,-23.582,-25.048,-23.706,-25.819,-30.156,-29.540,-34.603,-28.818,-23.678,-32.469,-33.602,-31.996,-33.816,-37.232,-36.220,-28.517,-32.498,-33.072,-33.541,-26.698,-23.859,-21.985,-22.987,-24.004,-24.401,-28.463,-33.344,-28.581,-26.462,-39.700,-33.910,-37.704,-33.602,-29.934,-31.916,-27.635,-25.162,-29.464,-26.442,-38.301,-39.438,-32.505,-30.453,3.779,19.684,23.329,15.804,-6.500,-30.296,-27.554,-28.110,-28.569,-31.873,-29.375,-32.014,-44.232,-35.824,-37.282,-31.603,-30.078,-38.283,-30.604,-28.815,-26.186,-41.268,-31.688,-30.324,-31.032,-29.858,-30.915,-27.683,-29.473,-39.929,-28.129,-27.144,-25.912,-31.818,-26.354,-25.432,-27.440,-29.514,-29.138,-27.709,-61.113,-35.133,-32.112,-28.423,-32.679,-35.121,-26.305,-27.056,-29.038,-29.622,-30.921
230.940,-131.794,-31.465,-27.632,-41.806,-30.527,-39.399,-35.836,-31.560,-40.608,-30.926,-27.692,-29.420,-32.748,-43.968,-32.180,-34.198,-26.262,-23.665,-34.459,-36.804,-29.959,-28.646,-28.878,-32.898,-37.033,-36.736,-34.216,-33.464,-24.677,-28.684,-46.339,-38.226,-34.498,-29.235,-26.474,-29.502,-37.312,-61.308,-38.227,-37.233,-30.016,-37.632,-27.806,-23.098,-23.687,-26.139,-25.478,-28.872,-42.140,-42.491,-31.899,3.674,19.564,23.219,15.724,-5.977,-30.118,-28.393,-31.019,-36.955,-50.584,-28.711,-22.753,-21.557,-22.825,-25.271,-31.278,-31.936,-31.239,-31.346,-30.756,-26.788,-22.682,-26.369,-35.584,-29.767,-31.703,-37.359,-40.425,-37.172,-34.043,-35.436,-31.171,-34.098,-41.365,-24.984,-22.932,-33.720,-42.558,-58.849,-29.067,-25.196,-32.471,-31.245,-21.834,-21.845,-33.717,-30.420,-33.596,-31.679,-24.553,-26.072
232.973,-131.794,-35.497,-26.922,-25.878,-26.401,-29.696,-31.358,-32.560,-28.613,-32.624,-33.694,-36.224,-32.391,-27.991,-38.660,-30.416,-28.769,-26.348,-30.951,-37.073,-39.830,-37.819,-29.076,-33.378,-35.156,-28.209,-24.741,-27.402,-24.711,-27.924,-37.979,-34.995,-39.410,-31.574,-25.815,-22.551,-24.488,-30.833,-36.298,-40.291,-31.524,-34.640,-26.435,-28.694,-28.693,-34.146,-38.300,-23.293,-25.051,-32.329,-31.093,3.708,19.489,23.134,15.546,-8.903,-25.724,-29.033,-27.929,-39.229,-28.268,-26.370,-33.744,-29.056,-28.139,-26.124,-24.346,-23.064,-21.543,-22.564,-27.413,-34.815,-38.946,-32.619,-26.976,-25.997,-32.702,-29.285,-26.959,-40.158,-32.147,-33.189,-38.497,-37.516,-38.380,-30.577,-25.682,-24.373,-22.510,-23.590,-29.168,-30.188,-35.078,-38.538,-42.258,-30.280,-33.781,-33.185,-28.591,-27.768,-29.767,-37.563
235.006,-131.794,-28.091,-26.088,-27.928,-31.263,-33.346,-28.986,-30.792,-38.126,-34.206,-29.379,-28.138,-30.755,-29.088,-33.592,-41.534,-32.265,-29.976,-32.219,-37.872,-27.724,-29.443,-26.675,-32.279,-27.752,-24.430,-25.981,-27.628,-31.106,-34.569,-34.897,-31.999,-28.957,-29.743,-32.519,-50.706,-30.965,-29.652,-29.896,-26.116,-29.347,-30.694,-28.339,-32.677,-31.478,-33.045,-48.071,-28.579,-30.078,-26.433,-24.549,3.529,19.429,23.081,15.571,-6.188,-32.627,-44.294,-47.947,-26.782,-26.773,-42.864,-37.609,-25.499,-23.926,-27.989,-32.099,-31.039,-42.887,-25.286,-20.470,-23.708,-27.720,-34.585,-31.589,-28.675,-30.531,-29.571,-27.393,-31.243,-31.060,-23.983,-26.456,-28.346,-26.336,-39.075,-25.372,-26.208,-27.377,-29.290,-41.156,-38.367,-40.032,-35.940,-27.219,-26.544,-31.661,-37.646,-45.639,-34.955,-24.866,-23.254
237.039,-131.794,-29.502,-33.862,-29.812,-28.008,-25.804,-27.437,-27.413,-29.299,-38.568,-29.944,-28.948,-34.665,-45.907,-32.534,-28.782,-51.058,-37.401,-30.716,-25.884,-29.294,-30.436,-26.248,-47.190,-30.596,-32.482,-35.845,-31.715,-33.027,-35.934,-32.180,-28.868,-30.344,-35.898,-42.106,-33.803,-33.993,-27.542,-31.740,-35.184,-30.886,-34.054,-36.509,-31.463,-27.272,-25.892,-29.359,-36.825,-33.897,-28.661,-31.130,3.530,19.366,23.006,15.472,-6.487,-26.872,-25.391,-25.767,-26.445,-28.368,-25.577,-23.648,-25.460,-28.174,-37.624,-33.568,-27.607,-31.306,-29.012,-26.015,-32.273,-37.475,-31.786,-34.359,-24.825,-33.453,-26.012,-24.164,-28.556,-28.173,-31.462,-37.637,-35.376,-39.206,-24.871,-26.048,-38.708,-39.568,-42.248,-34.324,-33.294,-29.853,-28.214,-31.218,-25.619,-27.157,-44.381,-35.770,-33.948,-38.403,-32.498
239.072,-131.794,-34.162,-32.512,-38.196,-28.300,-29.474,-31.170,-27.747,-29.947,-37.091,-37.472,-26.024,-24.357,-25.984,-28.749,-44.297,-31.643,-30.118,-30.466,-31.932,-34.405,-34.066,-25.964,-22.511,-25.326,-35.632,-36.695,-41.030,-33.995,-30.673,-33.204,-33.676,-26.980,-28.228,-34.571,-34.995,-33.109,-38.034,-46.681,-42.045,-26.281,-24.977,-30.043,-36.442,-54.582,-30.791,-22.753,-26.546,-29.149,-29.827,-29.456,3.062,19.160,22.843,15.244,-9.220,-29.188,-40.133,-40.095,-41.156,-30.334,-28.350,-26.253,-29.132,-39.364,-28.126,-25.307,-26.250,-32.928,-34.096,-28.424,-31.113,-41.604,-34.673,-31.455,-29.218,-27.017,-28.686,-31.086,-27.971,-29.093,-33.164,-27.426,-26.296,-30.913,-30.020,-30.922,-28.928,-24.318,-25.669,-29.682,-25.906,-28.598,-36.321,-29.380,-25.292,-22.859,-22.146,-24.888,-29.694,-34.342,-27.485
241.105,-131.794,-32.363,-32.220,-25.131,-25.923,-34.922,-36.360,-25.939,-22.018,-22.858,-31.819,-38.365,-27.200,-24.202,-27.547,-33.892,-35.023,-36.891,-37.572,-28.607,-30.378,-27.209,-28.838,-34.201,-28.259,-29.228,-35.611,-40.114,-50.906,-47.661,-41.015,-29.274,-34.184,-31.925,-27.850,-32.584,-24.333,-24.331,-37.499,-27.731,-28.781,-41.052,-47.178,-34.024,-30.496,-32.319,-39.782,-28.634,-29.178,-32.439,-34.192,3.100,18.981,22.674,15.197,-6.824,-30.522,-26.696,-35.682,-35.418,-30.048,-31.522,-34.203,-36.021,-28.086,-31.796,-35.699,-34.767,-27.064,-28.829,-35.914,-33.775,-29.755,-25.625,-27.524,-31.869,-30.273,-26.237,-30.927,-31.351,-33.280,-32.547,-28.220,-27.584,-32.424,-33.502,-26.458,-39.791,-30.848,-26.741,-28.773,-40.863,-33.753,-33.339,-31.760,-30.936,-37.439,-35.682,-30.857,-43.199,-36.156,-31.665
243.138,-131.794,-34.683,-32.972,-30.777,-45.424,-30.704,-25.236,-26.081,-25.897,-24.851,-28.900,-40.441,-35.250,-28.036,-38.629,-36.580,-27.525,-26.201,-25.803,-33.252,-54.236,-38.765,-30.442,-26.284,-25.792,-27.542,-40.206,-30.624,-28.947,-32.505,-43.715,-36.585,-33.236,-30.617,-29.937,-32.268,-33.564,-38.802,-32.042,-26.466,-35.745,-32.449,-36.383,-28.336,-29.102,-33.307,-33.904,-33.781,-28.930,-27.471,-28.422,3.133,18.792,22.443,14.926,-6.664,-25.428,-27.539,-29.738,-26.054,-25.299,-27.786,-30.070,-36.320,-31.342,-30.956,-29.687,-27.167,-25.787,-26.337,-30.616,-28.063,-35.809,-28.840,-31.831,-36.655,-29.761,-27.704,-30.953,-26.034,-23.444,-29.071,-32.101,-27.399,-22.543,-25.990,-27.545,-27.381,-24.153,-23.004,-25.149,-25.488,-27.307,-29.843,-27.319,-26.246,-26.008,-25.400,-32.444,-38.466,-38.646,-31.775
245.171,-131.794,-30.493,-26.925,-25.089,-27.083,-29.327,-26.303,-36.202,-32.492,-41.473,-29.367,-29.810,-26.609,-24.542,-22.615,-26.710,-29.736,-32.044,-32.824,-28.084,-26.215,-34.393,-27.786,-34.209,-31.541,-28.557,-27.467,-28.037,-34.651,-28.389,-23.589,-26.773,-26.517,-24.772,-25.615,-26.109,-33.510,-30.704,-24.207,-31.949,-33.161,-26.213,-25.433,-28.823,-37.572,-43.457,-35.058,-35.020,-29.967,-30.410,-23.369,2.966,18.579,22.222,14.641,-8.540,-32.147,-25.545,-23.705,-29.104,-24.783,-27.564,-28.991,-43.575,-23.497,-23.496,-38.360,-28.746,-25.523,-24.522,-26.512,-29.154,-30.080,-32.395,-30.045,-27.819,-31.838,-38.657,-27.676,-31.116,-30.746,-25.337,-27.888,-37.349,-26.243,-27.242,-28.352,-31.808,-25.019,-23.936,-27.784,-29.850,-31.781,-33.719,-26.462,-25.151,-27.316,-34.857,-31.676,-28.004,-26.953,-28.756
247.204,-131.794,-37.393,-29.262,-23.500,-24.374,-27.620,-34.363,-30.941,-30.159,-28.345,-31.091,-31.021,-29.751,-28.335,-29.283,-49.362,-36.627,-48.224,-29.961,-28.666,-44.077,-28.633,-30.291,-28.414,-37.245,-30.471,-27.040,-28.262,-28.954,-33.618,-24.328,-22.017,-26.134,-31.204,-32.546,-32.996,-31.293,-32.613,-34.804,-40.493,-45.978,-42.029,-30.470,-27.865,-25.818,-25.265,-29.892,-36.057,-30.159,-27.015,-25.130,2.488,18.644,22.330,14.808,-6.881,-23.442,-30.229,-47.093,-31.340,-36.393,-31.867,-29.590,-25.938,-29.821,-32.135,-27.324,-26.132,-34.747,-28.221,-28.660,-29.332,-26.023,-24.301,-30.313,-33.317,-23.066,-21.550,-28.017,-28.522,-31.516,-37.270,-30.215,-27.540,-32.394,-27.279,-31.756,-39.708,-32.882,-56.232,-39.055,-28.372,-26.332,-25.507,-28.032,-37.117,-29.403,-41.251,-29.376,-40.871,-42.846,-25.184
249.237,-131.794,-27.071,-27.398,-26.509,-29.526,-29.144,-35.284,-34.764,-33.486,-26.894,-25.484,-37.153,-29.545,-32.942,-30.263,-21.528,-23.222,-31.538,-29.614,-44.543,-39.285,-30.306,-32.344,-29.801,-40.765,-23.843,-26.984,-30.694,-36.530,-41.979,-33.847,-33.057,-41.708,-53.401,-34.860,-25.279,-26.466,-34.949,-34.417,-27.187,-24.350,-25.520,-30.880,-27.457,-28.330,-31.139,-33.039,-27.595,-21.080,-24.358,-30.596,3.509,19.146,22.769,15.184,-8.428,-31.423,-27.192,-24.006,-30.318,-30.887,-33.448,-43.648,-34.866,-29.366,-32.569,-38.617,-35.408,-26.888,-23.691,-27.164,-32.723,-29.965,-37.451,-28.136,-26.710,-28.815,-30.227,-35.160,-28.294,-26.344,-27.516,-31.463,-26.383,-33.712,-32.531,-33.758,-31.063,-32.493,-28.429,-27.031,-30.584,-35.675,-32.753,-28.383,-30.437,-45.081,-37.505,-37.582,-37.499,-45.005,-30.810
251.271,-131.794,-28.509,-35.289,-35.430,-36.124,-39.549,-45.187,-31.320,-28.996,-29.406,-30.013,-29.244,-32.044,-30.526,-27.619,-30.528,-28.653,-30.349,-40.093,-24.688,-21.606,-23.997,-26.910,-26.056,-31.877,-48.630,-31.905,-29.757,-30.674,-39.591,-28.344,-30.030,-29.341,-31.812,-38.870,-31.192,-28.354,-31.362,-31.077,-35.042,-29.114,-37.043,-31.608,-28.683,-25.096,-26.751,-35.533,-40.008,-28.376,-25.944,-28.093,4.169,19.834,23.458,15.894,-6.719,-24.460,-25.592,-27.400,-24.532,-25.885,-24.639,-25.917,-28.879,-33.997,-26.567,-20.880,-24.273,-31.270,-27.041,-26.711,-24.921,-27.320,-37.273,-35.803,-32.247,-36.485,-26.865,-35.031,-40.188,-35.361,-38.374,-41.060,-41.473,-27.859,-29.006,-30.410,-29.606,-28.860,-29.230,-32.830,-32.236,-31.383,-27.163,-25.149,-24.622,-23.024,-24.306,-40.139,-26.493,-28.268,-33.508
